Video id,Number of speakers,cc_skill_code,code_desc,video_link,published_at,video_title,video_desc,channel_title,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,social,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,health,drives,affiliation,achieve,power,reward,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,money,informal,netspeak,assent,nonflu,AllPunc,Dash,Quote,Apostro,Parenth,OtherP,Profile faces,Front faces,median_flatness,count of number of 1s/total windows,pitch_tuning,wpm,blondVal,brownVal,redVal,blackVal,grayVal,otherVal,Smile,Headpose - Pitch,Headpose - Roll,Headpose - Yaw,Age,Facialhair - Moustache,Facialhair - Beard,Facialhair - Sideburns,Glasses,Emotion - Anger,Emotion - Contempt,Emotion - Disgust,Emotion - Fear,Emotion - Happiness,Emotion - Neutral,Emotion - Sadness,Emotion - Surprise,Blur - Blurlevel,Blur - Value,Exposure - Exposurelevel,Exposure - Value,Occlusion - Foreheadoccluded,Occlusion - Eyeoccluded,Occlusion - Mouthoccluded,Noise - Noiselevel,Noise - Value,Makeup - Eyemakeup,Makeup - Lipmakeup,Accessories - Type,Accessories - Confidence,Hair - Bald,Hair - Invisible,transcript,Views,Likes,Dislikes,Favorites,Comments,Text,Plot,Number,Symbol,Page,Word,Person,Diagram,Human,White Board,Document,Paper,Handwriting,Plan,Face,Driving License,Electronics,Flyer,Measurements,Alphabet,Front face,Side profile,Voice only,label,Gender
7up731HX2uA,1.0,7.RP.A.2.D,"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.",https://www.youtube.com/watch?v=7up731HX2uA,2015-01-26T19:24:25.000Z,[7RP2c-14] Graphing Proportional Relationships - Common Core Standard,"Discover more Common Core Math at https://www.frontrowed.com Explain what the points (0, 0) and (1, r) where r is the unit rate on the graph of a proportional ...",Freckle Education,128.0,36.5,84.51,26.25,39.75,128.0,13.28,82.81,51.56,12.5,7.03,1.56,4.69,0.78,0.0,0.0,5.47,3.91,11.72,13.28,7.03,8.59,0.0,21.09,2.34,0.78,1.56,10.16,1.56,0.78,0.78,0.0,6.25,0.0,6.25,0.78,0.78,2.34,1.56,0.78,0.0,1.56,0.78,0.78,0.0,2.34,0.0,8.59,4.69,2.34,1.56,0.0,0.0,12.5,3.91,17.19,3.91,10.16,3.12,0.78,0.0,4.69,0.0,0.0,0.0,0.0,3.91,2.34,0.0,1.56,0.0,0.0,0.0,0.0,5.2000000000000004e-05,0.001902588,-0.33,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'Lydia is selling water bottles for two dollars each create a graph to represent this situation which point will the line pass through we have our options over x-axis and price my y-axis generally speaking price will be on the y-axis so four dollars two water bottles so on and so forth and as you could see our first point let me erase this real quick our first point is going to be one to write one water bottle for two dollars be right here our second point will be 24 then we move on to 36 which would be up too straight it would be a straight line so it passes through 12 it also passes through 48 so the correct answer is both ',163.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,Yes,1
7E64xzjsgpo,1.0,7.NS.A.2.C,Apply properties of operations as strategies to multiply and divide rational numbers.,https://www.youtube.com/watch?v=7E64xzjsgpo,2015-10-12T21:06:40.000Z,Operation Properties Inverse Property 7 NS A 1 d and 7 NS A 2 c,video 5 of 5.,Math Man,458.0,68.53,79.05,2.27,45.84,458.0,22.05,77.51,51.53,11.35,5.24,0.0,1.97,2.84,0.0,0.44,6.11,9.61,10.92,8.3,4.15,10.04,0.87,12.23,3.71,2.62,1.53,10.04,3.93,1.53,1.31,0.22,6.99,0.0,10.7,1.53,1.31,4.15,2.4,1.31,2.84,2.62,1.53,0.87,0.0,0.44,0.44,5.9,2.18,0.87,0.87,1.97,1.31,8.52,1.09,8.73,0.44,5.02,2.84,2.4,0.87,0.0,0.22,0.0,0.0,0.22,0.87,0.44,0.0,0.44,0.0,0.0,0.0,0.0,0.00042970800000000005,0.0,-0.38,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'welcome to our flipped classroom where knowledge of math makes things easier properties there are five videos in this series and this is the last of the done with this video you should have seen five out of all five videos or the whole amount will be learning the mathematics common core curriculum content standards relating to number sense specifically the seventh grade standards 7ns a 1d in which we apply properties of operations or strategies to add and subtract rational numbers then seven NSA to see in which we apply properties of operations as strategies to multiply and divide rational numbers property in our first video then we looked at the associative property the distributive property and the identity inverse property of addition and the inverse property of multiplication the inverse property of addition says the sum of a number and its inverse or its opposite the number that has the same absolute value on the other side of zero on the number line so if you have a negative eight a positive a would be the opposite if you have a positive 3 and negative 3 would be the opposite so sum of a number and its opposite its inverse when you add them you should get zero that can be represented using variables this way and which could represent any number and you add its opposite should demonstrate that eight and you add negative eight should give you zero have eight and we add eight negatives each one of these will cancel out a 1-1 is 0 1 minus 1 is 0 and so on so 8 minus eight is going to give you a zero the inverse property of multiplication says that the product of a number and inverse as reciprocal the inverse property of multiplication could be written this way with variables that n any number and its reciprocal flipping the fraction around putting the denominator on top and the numerator on the bottom when you multiply them times one-third should equal one well we had learned before that three could be represented as a fraction every fraction is also a division problem and the denominator that would make this whole number three the denominator would be one so we could represent three as three over 1 so 3 over 1 times its reciprocal need a common denominator when multiplying fractions so we just multiply straight across three times one equals three and one times three equals three and three thirds can be reduced to one so again the inverse property of addition says that if you add a number give you a sum of zero and the inverse property of multiplication says if you multiply a number and its reciprocal ',26.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes,1
ibZmnFcLlaA,1.0,7.SP.C.7.A,"Develop a uniform probability model by assigning equal probability to all outcomes, and use the model to determine probabilities of events. For example, if a student is selected at random from a class, find the probability that Jane will be selected and the probability that a girl will be selected.",https://www.youtube.com/watch?v=ibZmnFcLlaA,2015-01-26T19:25:53.000Z,[7SP7a-15] Uniform Probability Models - Common Core Standard,Discover more Common Core Math at https://www.frontrowed.com Students must make predictions about the outcomes by applying the principles of theoretical ...,Freckle Education,105.0,77.28,38.74,2.82,25.77,105.0,4.76,74.29,51.43,6.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,7.62,13.33,17.14,1.9,5.71,0.0,19.05,12.38,4.76,2.86,12.38,4.76,0.0,0.0,0.0,0.0,0.0,14.29,0.95,0.0,0.95,13.33,0.0,2.86,9.52,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.24,0.95,6.67,1.9,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,1.9,0.0,0.0,0.0,0.0,5.5799999999999994e-05,0.01037851,-0.26,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'a bag has 50 colored chips if 20 chips are red 19 chips are orange and 11 chips are green which color chip will a random draw most likely pull so 20 out of the 50 are red meaning it has a 20 out of 50 probability of being chosen 19 out of 50 are orange and 11 out of 50 are green the one that is most likely to be chosen or most likely to be drawn is whichever bag or whichever color has the most chips in this case that is red is the most likely chip to be pulled from the bag ',21.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Yes,1
JmJAa90B_Qo,1.0,7.SP.C.7.B,"Develop a probability model (which may not be uniform) by observing frequencies in data generated from a chance process. For example, find the approximate probability that a spinning penny will land heads up or that a tossed paper cup will land open-end down. Do the outcomes for the spinning penny appear to be equally likely based on the observed frequencies?",https://www.youtube.com/watch?v=JmJAa90B_Qo,2015-01-26T19:30:24.000Z,[7SP7b-11] Developing Probability Models - Common Core Standard,Discover more Common Core Math at https://www.frontrowed.com Students must know how to compare the predictions to the outcomes of the experiment Front ...,Freckle Education,66.0,28.77,72.77,1.0,80.64,66.0,18.18,83.33,53.03,10.61,4.55,0.0,1.52,0.0,1.52,1.52,6.06,3.03,10.61,13.64,10.61,7.58,0.0,15.15,6.06,6.06,0.0,9.09,1.52,3.03,3.03,0.0,4.55,0.0,10.61,0.0,4.55,3.03,0.0,3.03,0.0,1.52,1.52,0.0,0.0,0.0,0.0,4.55,1.52,1.52,3.03,1.52,7.58,4.55,4.55,10.61,1.52,3.03,6.06,0.0,0.0,0.0,3.03,0.0,1.52,1.52,3.03,0.0,0.0,3.03,0.0,0.0,0.0,0.0,6.59e-05,0.019323672,0.03,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'before the experiment Lisbeth predicted that 2 and 12 would be rolled with similar frequency because there is only one way to roll each of those numbers was this best prediction correct well down here we could see that too was rolled four times and 12 was rolled five times so yes her prediction was correct because they were rolled about the same number of times ',33.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,Yes,0
hlD_j3AtxGs,1.0,7.G.A.3,"Describe the two-dimensional figures that result from slicing three-dimensional figures, as in plane sections of right rectangular prisms and right rectangular pyramids.",https://www.youtube.com/watch?v=hlD_j3AtxGs,2014-07-10T15:45:57.000Z,Math Shorts Episode 8 - Slicing Three Dimensional Figures,This Math Shorts episode helps students understand the two-dimensional figures that result from slicing solid three-dimensional figures. The video demonstrates ...,Planet Nutshell,200.0,92.28,84.14,66.17,25.77,200.0,26.0,76.5,45.0,10.5,7.5,0.0,0.0,6.5,0.0,1.0,3.0,11.0,12.5,4.5,3.5,6.0,0.0,6.0,5.0,3.5,2.5,4.0,3.5,1.0,0.5,0.5,7.5,0.0,10.0,2.5,2.5,1.5,3.5,0.0,4.0,4.0,4.0,0.0,0.0,0.5,0.0,2.5,0.0,0.5,1.5,1.0,0.0,8.0,0.5,18.5,0.0,16.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,6.5,0.0,1.0,0.0,0.0,0.0,1.0,8.89e-05,0.160774194,-0.49,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'math shirts slicing solid three-dimensional figures results in different two-dimensional shapes depending on how you slice them if you cut through a cylinder with a geometric plane parallel to the cylinders base the two-dimensional cross-section is a circle any way you slice it you can get two-dimensional shapes from three-dimensional figures when you slice a cylinder from top to bottom that is perpendicular to its base then look at the cross-section straight on you get a rectangle what happens when you slice a square pyramid if you slice across the pyramid with your plane parallel to the pyramids base the cross-section is a square if you slice with your plane perpendicular to the pyramids base the cross-section is a triangle three-dimensional figure with a geometric plane you can slice in any direction just keep in mind that shapes can look different when you look at them from different angles so orient the cross-section on the geometric plane slicing diagonally can produce different shapes such as an ellipse or a trapezoid understanding the two-dimensional shapes that result from slicing solid three-dimensional figures is important for geometry and ninjas ',189448.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,0
rQ6EwArDtHc,1.0,7.SP.C.6,"Approximate the probability of a chance event by collecting data on the chance process that produces it and observing its long-run relative frequency, and predict the approximate relative frequency given the probability. For example, when rolling a number cube 600 times, predict that a 3 or 6 would be rolled roughly 200 times, but probably not exactly 200 times.",https://www.youtube.com/watch?v=rQ6EwArDtHc,2015-01-26T19:27:19.000Z,[7SP6-20] Probability of Chance Events - Common Core Standard,"Discover more Common Core Math at https://www.frontrowed.com Predict the approximate relative frequency given the probability Front Row is a free, adaptive, ...",Freckle Education,107.0,79.64,79.98,35.01,42.74,107.0,8.41,83.18,55.14,12.15,6.54,0.93,4.67,0.0,0.93,0.0,5.61,6.54,18.69,6.54,9.35,6.54,0.0,14.02,2.8,2.8,1.87,10.28,2.8,0.93,0.93,0.0,6.54,0.93,9.35,1.87,1.87,4.67,3.74,0.0,1.87,6.54,6.54,0.0,0.0,0.0,0.0,9.35,4.67,0.93,2.8,1.87,1.87,11.21,0.93,19.63,1.87,11.21,6.54,0.0,0.0,0.0,0.93,0.0,0.0,0.93,2.8,0.0,0.0,1.87,0.0,0.93,0.0,0.0,3.63e-05,0.00887372,-0.37,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'Michael spins the spinner below 400 times predict how many times a spinner landed on yellow now I see here that yellow takes up 1/4 of the circle there is a 1 in 4 probability of landing on yellow so if he were to spin it 400 times the question is how many times should it land on yellow well to get from 4 to 400 we multiplied by a hundred so to keep our ratio equal we need to do the same on top and we find out that if we were to spin it 400 times it should land on yellow about 100 times ',710.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Yes,0
QxXR0fxvTgM,1.0,7.NS.A.3,Solve real-world and mathematical problems involving the four operations with rational numbers.,https://www.youtube.com/watch?v=QxXR0fxvTgM,2015-01-26T19:25:36.000Z,[7NS3-10] Solve Real-World Problems - Common Core Standard,Discover more Common Core Math at https://www.frontrowed.com Solve real-world and mathematical problems involving the four operations with rational ...,Freckle Education,170.0,52.71,97.69,1.0,36.08,170.0,5.29,75.88,54.12,20.0,12.35,0.59,1.18,0.0,10.59,0.0,7.65,3.53,14.71,8.82,4.71,4.71,0.0,19.41,0.59,1.18,1.76,17.65,2.35,0.59,0.59,0.0,21.18,0.0,5.29,1.76,0.59,1.18,1.18,0.59,1.76,0.59,0.59,0.0,0.0,0.0,0.0,9.41,6.47,0.59,1.76,1.18,7.65,10.59,1.18,10.0,0.59,7.06,2.35,0.0,0.0,0.0,0.59,0.0,0.0,0.59,3.53,0.0,0.0,1.18,0.0,2.35,0.0,0.0,0.000144654,0.005059524,0.17,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'Lia had 50 stickers Lia gave half of the stickers to her sister of the amount left she gave 2/5 to her friend how many stickers does Lia have left for herself with 50 then she gave half of those away to her friend I know that half of 50 is 25 so her friend over here has 25 that means that Lia still has 25 for herself the other half of the amount left in this case it would be 25 Lia then gave 2 out of every 5 2/5 to her friend oops it looks like at the top she gave those to her sister she gave 2/5 to her friend so what we have here is we have 25 times 2/5 which is 50 over 5 or 10 so that means that her friend gets 10 her friend has gets 10 stickers leaving the rest for Lia well if she had 25 she gave 10 away Lea has 15 stickers left for herself ',7055.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,Yes,1
xiHcVRFBnA0,1.0,7.EE.A.2,"Understand that rewriting an expression in different forms in a problem context can shed light on the problem and how the quantities in it are related. For example, a + 0.05a = 1.05a means that ""increase by 5%"" is the same as ""multiply by 1.05.""",https://www.youtube.com/watch?v=xiHcVRFBnA0,2015-03-30T05:50:52.000Z,7EE2-Interpreting Expressions and Equations ( Grade 7 Math)  wwwlumoslearningcom,"http://lumoslearning.com In this video, seventh grade students learn about Expressions and Equations To Learn More! Schools/Teachers Visit: ...",Lumos Learning,77.0,86.99,44.85,18.34,25.77,77.0,24.68,71.43,50.65,5.19,3.9,1.3,1.3,1.3,0.0,0.0,1.3,7.79,15.58,9.09,3.9,2.6,7.79,15.58,0.0,0.0,0.0,22.08,2.6,0.0,0.0,0.0,5.19,0.0,3.9,2.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.3,6.49,2.6,1.3,1.3,1.3,1.3,11.69,2.6,11.69,3.9,2.6,3.9,3.9,1.3,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,2.6,0.0,1.3,1.0,0.0,0.000196993,0.155106309,0.04,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'evaluate the following expression use the order of operations by first going to be 16 negative 10 minus 5 is negative 15 here we have another set of grouping symbols 36 minus 16 is 20 the going to perform the multiplications and divisions from left to right 20 divided by 20 is 1/4 times negative 15 is negative 60 now I just perform the addition of 1 plus negative 60 the answer is negative 59 you ',477.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0
u_MU518qhwM,1.0,7.SP.C.8.C,"Design and use a simulation to generate frequencies for compound events. For example, use random digits as a simulation tool to approximate the answer to the question: If 40% of donors have type A blood, what is the probability that it will take at least 4 donors to find one with type A blood?",https://www.youtube.com/watch?v=u_MU518qhwM,2015-01-26T19:25:09.000Z,[7SP8c-10] Using Simulations for Compound Events - Common Core Standard,Discover more Common Core Math at https://www.frontrowed.com Design and use a simulation to generate frequencies for compound events. Front Row is a ...,Freckle Education,97.0,36.52,50.0,40.7,64.85,97.0,8.25,84.54,55.67,13.4,3.09,1.03,2.06,0.0,0.0,0.0,10.31,8.25,8.25,10.31,10.31,8.25,0.0,14.43,9.28,7.22,2.06,6.19,4.12,2.06,2.06,0.0,2.06,0.0,10.31,0.0,3.09,1.03,3.09,0.0,3.09,6.19,6.19,0.0,0.0,0.0,0.0,6.19,2.06,1.03,4.12,0.0,6.19,8.25,1.03,16.49,1.03,7.22,8.25,0.0,1.03,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,2.06,0.0,0.0,0.0,0.0,3.63e-05,0.009142053,-0.44,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'the data below shows the results of a simulation that was conducted by rolling two dice and recording the outcome which value was rolled least often so now we can see the value at the top even though it looks small we can see it and then it was rolled on the bottom and looking across I could see that number two was rolled least often that was only rolled four times number 12 this rolled five times which is also very infrequent but it was rolled more than two making to the least often rolled number ',398.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Yes,1
eBsa_1cpN9s,1.0,7.G.A.2,"Draw (freehand, with ruler and protractor, and with technology) geometric shapes with given conditions. Focus on constructing triangles from three measures of angles or sides, noticing when the conditions determine a unique triangle, more than one triangle, or no triangle.",https://www.youtube.com/watch?v=eBsa_1cpN9s,2014-03-09T19:11:31.000Z,How to Construct a Triangle When Given the Angles  Fun with Math!,Subscribe Now: http://www.youtube.com/subscription_center?add_user=ehoweducation Watch More: http://www.youtube.com/ehoweducation When ...,eHowEducation,294.0,44.79,36.69,39.4,31.57,294.0,8.5,78.91,61.56,16.33,7.14,5.78,0.68,0.68,0.0,0.0,9.18,8.5,13.95,7.14,11.22,10.2,0.34,12.24,2.38,2.04,2.38,5.1,1.36,0.34,0.34,0.0,1.36,0.0,5.78,0.68,1.36,2.72,0.0,1.36,0.0,2.04,2.04,0.0,0.0,0.0,0.0,5.78,0.68,0.68,3.4,1.7,1.7,10.88,0.34,15.65,0.68,10.88,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.68,0.0,0.0,0.0,1.0,3.8299999999999996e-05,0.013648371000000001,0.05,111.66666670000001,0.065,0.99,0.07,0.99,0.135,0.115,0.0005,-1.9,13.85,24.85,29.0,0.25,0.25,0.1,NoGlasses,0.0,0.0,0.0,0.0015,0.0005,0.8435,0.003,0.1515,low,0.04,goodExposure,0.675,False,False,False,low,0.0,True,False,,,0.275,False,'construct a triangle when given the construct a triangle with angles 50 60 and 70 degrees the first thing I want to do is draw my base and since the base straight line just like this next thing I want to do is get my protractor out degree angle from this point so what I want to do is line up the protractor so drew and I also want to line up the tip of the base right here with this point right on this protractor and all protractors have this little circle embedded into the bottom so when I do draw a point right there at 50 degrees and now I go back to my ruler and I simply connect the base through that point and extend it up just like that extend it just matters how big you want your triangle to be so our next angle is going to be 60 degrees so again this upside down like this get the point lined up right at the base of the line that I drew and I want to find a 60 to be right about here so I draw a little point and now again with the the line that I just drew and connect it through the point and I want to extend that all the way back down to the base that I already drew so this angle right here was 50 this one was 60 and the best part about triangle is is that no matter what this angle I know for a fact that it must be 70 degrees because 50 plus 60 plus 70 is equal to 180 so here we have drew Moyer and that is how to construct a triangle when given the angles ',53358.0,466.0,50.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes,0
