cc_skill_code,code_desc,video_link,Video id,published_at,video_title,video_desc,channel_title,Label
7.RP.A.1,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units. For example, if a person walks 1/2 mile in each 1/4 hour, compute the unit rate as the complex fraction 1/2/1/4 miles per hour, equivalently 2 miles per hour.",https://www.youtube.com/watch?v=Is9ioUILsrU,Is9ioUILsrU,2013-09-12T22:24:52.000Z,7.RP.1: Ratios and Unit Rates,Quick instruction on ratios and how to calculate unit rates.,Nicholas Shepherd,Yes
7.RP.A.1,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units. For example, if a person walks 1/2 mile in each 1/4 hour, compute the unit rate as the complex fraction 1/2/1/4 miles per hour, equivalently 2 miles per hour.",https://www.youtube.com/watch?v=BBhwOTtARQ8,BBhwOTtARQ8,2016-04-11T12:22:15.000Z,7.RP.1 Study Guide video,"Recorded with ScreenCastify (https://www.screencastify.com), the screen video recorder for Chrome.",Jennifer Evans,Yes
7.RP.A.1,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units. For example, if a person walks 1/2 mile in each 1/4 hour, compute the unit rate as the complex fraction 1/2/1/4 miles per hour, equivalently 2 miles per hour.",https://www.youtube.com/watch?v=1T2rAw6DsyM,1T2rAw6DsyM,2014-10-24T16:51:46.000Z,CCSS 7.RP.1 - video 1 - Ratios,CCSS 7.RP.1 - video 1 - Ratios.,Robert Wirtz,Yes
7.RP.A.1,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units. For example, if a person walks 1/2 mile in each 1/4 hour, compute the unit rate as the complex fraction 1/2/1/4 miles per hour, equivalently 2 miles per hour.",https://www.youtube.com/watch?v=7Z_0Hica6-w,7Z_0Hica6-w,2016-01-15T13:35:26.000Z,7.RP.1-6 - Rates with Complex Fractions,,Clarkademy,Yes
7.RP.A.1,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units. For example, if a person walks 1/2 mile in each 1/4 hour, compute the unit rate as the complex fraction 1/2/1/4 miles per hour, equivalently 2 miles per hour.",https://www.youtube.com/watch?v=pIMNpu7mGY8,pIMNpu7mGY8,2010-04-18T18:13:39.000Z,"Rate and Proportion with Student Bob, CCSS 6.RP.A.3 and 7.RP.A.1.","""Bob"" shows us how to do a rate problem using proportion. From our student-created Mathtrain.TV Project. CCSS.Math.Content.6.RP.A.3 and 7.RP.A.1.",mathtrain,Not Relevant
7.RP.A.2.A,"Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin.",https://www.youtube.com/watch?v=C7CY4l99S7M,C7CY4l99S7M,2015-06-23T16:31:11.000Z,How to visually identify proportional relationships using graphs | 7th grade | Khan Academy,Learn how to tell proportional relationships by drawing graphs. Key idea: the graph of a proportional relationship is a straight line through the origin. Practice this ...,Khan Academy,Yes
7.RP.A.2.A,"Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin.",https://www.youtube.com/watch?v=k40Ht-MffP8,k40Ht-MffP8,2017-09-22T02:23:08.000Z,7.RP.A.2.A. Propotional Identification,MSA is an intensive and comprehensive professional development (PD) program designed to support continuous improvement of teaching and learning ...,LANL MSA,Yes
7.RP.A.2.A,"Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin.",https://www.youtube.com/watch?v=nmccWna9A0Y,nmccWna9A0Y,2014-05-22T13:41:54.000Z,Identifying Proportional Relationships (7.RP.2),,School 21,Yes
7.RP.A.2.A,"Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin.",https://www.youtube.com/watch?v=4w_n98E-j0I,4w_n98E-j0I,2015-01-26T19:23:37.000Z,[7.RP.2a-1.0] Proportional Relationships - Common Core Standard,Discover more Common Core Math at https://www.frontrowed.com Decide whether two quantities are in a proportional relationship by testing for equivalent ...,Freckle Education,Yes
7.RP.A.2.A,"Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin.",https://www.youtube.com/watch?v=UoPYPDnkltQ,UoPYPDnkltQ,2014-07-30T03:45:18.000Z,MACC.7.RP.2a - Common Core Ideas,"MACC.7.RP.2a - Common Core Ideas Here are some ideas on how you can teach this standard. Using M&Ms to create your table, yummy! MACC.7.RP.a.2a ...",SsgtMath,Yes
7.RP.A.2.B,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships.",https://www.youtube.com/watch?v=ErrR7v0OgJA,ErrR7v0OgJA,2016-10-20T14:46:34.000Z,Middle School Card Sort Activity &amp; Assessment: Graphing Equations to Find Proportional Relationships,"This lesson unit is intended to help you assess how well students are able to identify the constant of proportionality (unit rate) in tables, graphs, equations, ...",Kelly McCown Teachers Pay Teachers,Not Educational
7.RP.A.2.B,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships.",https://www.youtube.com/watch?v=KvBMuB4FeWE,KvBMuB4FeWE,2013-09-14T16:42:46.000Z,Unit Rate Task (CCSS Math 7.RP.2b),This video covers a task in which students are asked to find a constant of proportionality and use it as a unit rate to find the solution. This task aligns with CCSS ...,MrStooksMath,Yes
7.RP.A.2.B,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships.",https://www.youtube.com/watch?v=buSnKoducJc,buSnKoducJc,2018-03-28T13:11:57.000Z,Recognizing Proportional Relationships - 7.RP.A.2b - 7th Grade Middle School Math,Share parksmath.com with someone that needs help with math! Hit the 'THUMBS UP' if you liked the video. Click 'SUBSCRIBE' Always COMMENT! Find me on ...,ParksMath,Not Relevant
7.RP.A.2.B,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships.",https://www.youtube.com/watch?v=NUA-fI3E6Vk,NUA-fI3E6Vk,2014-11-16T17:29:25.000Z,CCSS 7.RP.2.b - constant of proportionality,CCSS 7.RP.2.b - constant of proportionality.,Robert Wirtz,Yes
7.RP.A.2.B,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships.",https://www.youtube.com/watch?v=SPh1KMjrb_A,SPh1KMjrb_A,2017-11-15T04:13:23.000Z,7.RP.A.2b Constant of Proportionality,,Alex Sandwisch,Yes
7.RP.A.2.C,"Represent proportional relationships by equations. For example, if total cost t is proportional to the number n of items purchased at a constant price p, the relationship between the total cost and the number of items can be expressed as t = pn.",https://www.youtube.com/watch?v=qcz1Cm_-l50,qcz1Cm_-l50,2015-06-23T23:16:54.000Z,Equations of proportional relationships | 7th grade | Khan Academy,"Learn how to write a proportional equation y=kx where k is the so-called ""constant of proportionality"". Practice this lesson yourself on KhanAcademy.org right ...",Khan Academy,Yes
7.RP.A.2.C,"Represent proportional relationships by equations. For example, if total cost t is proportional to the number n of items purchased at a constant price p, the relationship between the total cost and the number of items can be expressed as t = pn.",https://www.youtube.com/watch?v=6sbVhu843SA,6sbVhu843SA,2018-12-10T07:00:00.000Z,I don&#39;t get Constant Equations! (Representing Proportional Relationships with Equations),"If you are struggling with the x, y and k equations you've come to the right place. In this short video I explain what you need to know about constants, dependent ...",Eric Buffington,Yes
7.RP.A.2.C,"Represent proportional relationships by equations. For example, if total cost t is proportional to the number n of items purchased at a constant price p, the relationship between the total cost and the number of items can be expressed as t = pn.",https://www.youtube.com/watch?v=X1Kr2cHWuP4,X1Kr2cHWuP4,2016-07-12T11:21:18.000Z,CC7- Writing Equations to Represent Proportional Relationships,,MrDennisonMath,Yes
7.RP.A.2.C,"Represent proportional relationships by equations. For example, if total cost t is proportional to the number n of items purchased at a constant price p, the relationship between the total cost and the number of items can be expressed as t = pn.",https://www.youtube.com/watch?v=dBGeri4eFv4,dBGeri4eFv4,2013-07-27T00:50:41.000Z,Writing an equation for a proportional relationship (example) | 7th grade | Khan Academy,Writing an equation to describe the relationship between the number of scoops in an ice cream cone and the price Practice this lesson yourself on ...,Khan Academy,Yes
7.RP.A.2.C,"Represent proportional relationships by equations. For example, if total cost t is proportional to the number n of items purchased at a constant price p, the relationship between the total cost and the number of items can be expressed as t = pn.",https://www.youtube.com/watch?v=h3ZrKQMBEB4,h3ZrKQMBEB4,2017-10-06T19:22:03.000Z,Representing Proportional Relationships Algebraically (7.RP.2c),"This lesson shows how to represent proportional relationships algebraically in order to solve for an unknown. For more videos and instructional resources, visit ...",TenMarks Amazon,Yes
7.RP.A.2.D,"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.",https://www.youtube.com/watch?v=vPA0k8r3Tuc,vPA0k8r3Tuc,2015-01-26T19:23:56.000Z,[7.RP.2c-1.0] Graphing Proportional Relationships - Common Core Standard,"Discover more Common Core Math at https://www.frontrowed.com Explain what a point (x, y) on the graph of a proportional relationship means in terms of the ...",Freckle Education,Not Relevant
7.RP.A.2.D,"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.",https://www.youtube.com/watch?v=muZmOiiukQE,muZmOiiukQE,2015-06-25T18:56:39.000Z,Interpreting graphs of proportional relationships (examples) | 7th grade | Khan Academy,Learn how to read and understand graphs of proportional relationships Practice this lesson yourself on KhanAcademy.org right now: ...,Khan Academy,Yes
