,Video id,IsFace
0,Is9ioUILsrU,Voice only
14,BBhwOTtARQ8,Voice only
25,1T2rAw6DsyM,Voice only
38,7Z_0Hica6-w,Voice only
45,7Z_0Hica6-w,Front face
53,pIMNpu7mGY8,Voice only
55,C7CY4l99S7M,Voice only
64,k40Ht-MffP8,Voice only
70,nmccWna9A0Y,Voice only
75,4w_n98E-j0I,Voice only
76,UoPYPDnkltQ,Voice only
77,UoPYPDnkltQ,Front face
83,ErrR7v0OgJA,Front face
86,KvBMuB4FeWE,Voice only
92,buSnKoducJc,Voice only
94,buSnKoducJc,Front face
104,NUA-fI3E6Vk,Voice only
117,SPh1KMjrb_A,Voice only
129,qcz1Cm_-l50,Voice only
135,6sbVhu843SA,Front face
136,6sbVhu843SA,Voice only
153,X1Kr2cHWuP4,Voice only
154,X1Kr2cHWuP4,Front face
156,X1Kr2cHWuP4,Side profile
161,dBGeri4eFv4,Voice only
165,h3ZrKQMBEB4,Voice only
170,vPA0k8r3Tuc,Voice only
171,muZmOiiukQE,Voice only
181,9ya8YNMJ27g,Front face
182,9ya8YNMJ27g,Voice only
193,7up731HX2uA,Voice only
195,1F7LAJEVp-U,Voice only
199,1F7LAJEVp-U,Front face
201,nm2b1U8mvhI,Voice only
209,PqJuIal2-rY,Voice only
214,PqJuIal2-rY,Front face
218,Ep8y4v7-Dmw,Voice only
238,EOqxDyiMAdE,Voice only
246,whreCx_YLko,Voice only
256,bChoL5qB6cM,Voice only
267,bChoL5qB6cM,Front face
273,iQTrf_eCfI8,Voice only
276,iQTrf_eCfI8,Front face
285,4dvG5PXUGFk,Voice only
306,V1kXk2yrBZw,Voice only
317,VufrCCcsse4,Voice only
318,WTIotEFCYno,Voice only
340,LXZqE_soFzY,Voice only
352,IYNyBvB8BjA,Voice only
364,nWbQIORfcyg,Voice only
365,nWbQIORfcyg,Front face
397,CQ0OHoaS8eo,Voice only
418,jBIf10lgWyU,Voice only
429,jBIf10lgWyU,Front face
438,Wn8Bf_r0vzo,Front face
439,Wn8Bf_r0vzo,Voice only
476,Wn8Bf_r0vzo,Side profile
509,T1yNpgVkMRM,Voice only
510,T1yNpgVkMRM,Front face
519,TSnZ0dlh3NA,Voice only
530,TSnZ0dlh3NA,Front face
531,k2rrJDcOGsw,Voice only
539,k2rrJDcOGsw,Front face
544,5RZwBqvMVMI,Voice only
550,6uts4lH_tP4,Front face
551,6uts4lH_tP4,Voice only
557,GtiYyWQI8ZA,Front face
564,ev8g5jdDxEA,Voice only
575,ev8g5jdDxEA,Side profile
584,ev8g5jdDxEA,Front face
587,xRLaBFyc-UM,Voice only
594,3Xf5_-WM6h0,Voice only
599,NVVL3jc2nRE,Voice only
607,RKjFYgSREG8,Voice only
609,RKjFYgSREG8,Front face
666,3USkdBSwdKs,Voice only
672,71l1dxnNN28,Voice only
673,71l1dxnNN28,Front face
689,Gz4K_CjxcCU,Voice only
690,Gz4K_CjxcCU,Front face
698,Fre5g65sj0w,Front face
700,Fre5g65sj0w,Voice only
703,Fre5g65sj0w,Side profile
704,xWiQT2LaD78,Voice only
712,h7JatMD-B_w,Voice only
715,h7JatMD-B_w,Front face
720,VoI3U21K8_4,Voice only
727,7E64xzjsgpo,Voice only
732,YQ8H5GLPZsA,Voice only
745,Q48o-VQ48og,Voice only
754,4OmT_Nj1eng,Voice only
757,xYP3p5ScKNo,Front face
758,xYP3p5ScKNo,Voice only
789,EyAvSj1ZgXk,Voice only
791,JzcylDGwRjk,Voice only
801,lTAQ2HRErYw,Voice only
803,lTAQ2HRErYw,Front face
815,PouihkhCpIc,Voice only
816,PouihkhCpIc,Front face
833,uRrsTH3qC5c,Voice only
838,NRlAWXJzNr8,Front face
849,NRlAWXJzNr8,Voice only
850,3oIBsiZxNRw,Voice only
860,QxXR0fxvTgM,Voice only
862,yVZaPTMZUlM,Front face
863,yVZaPTMZUlM,Voice only
868,51rqdW3u02M,Voice only
880,2-aPVBmi0P8,Voice only
897,bVSIaWBYtuw,Voice only
902,bVSIaWBYtuw,Front face
909,FuFyo9Zd9e0,Front face
913,PFn5uO78D8U,Front face
914,PFn5uO78D8U,Voice only
921,yDJ5Fn06OqA,Voice only
923,YUOXh6eFCrU,Voice only
924,YUOXh6eFCrU,Front face
931,xiHcVRFBnA0,Voice only
932,xiHcVRFBnA0,Side profile
933,zcMrjedUJIQ,Voice only
942,GvCv2Pz0o3I,Voice only
962,IiTHAXv4_ts,Voice only
963,IiTHAXv4_ts,Front face
980,zeqrf8ZVQSs,Voice only
981,zeqrf8ZVQSs,Front face
997,za5uuoQJmmw,Front face
1004,b7l5KEKtcIg,Front face
1006,b7l5KEKtcIg,Voice only
1009,ku1rHYu6K9Q,Voice only
1019,aigXaO8ewdg,Front face
1020,aigXaO8ewdg,Voice only
1028,i1quLORCZ2g,Voice only
1031,b_zqUaywNAE,Voice only
1033,b_zqUaywNAE,Front face
1035,LaSgcIsnXlU,Voice only
1046,LaSgcIsnXlU,Front face
1053,wOpw9aFCfPU,Voice only
1055,wOpw9aFCfPU,Front face
1069,JB5zC2nu4Cc,Voice only
1077,7222_XNBmeo,Voice only
1080,Gep1hN-yeFQ,Voice only
1091,Re9DQipGsbs,Voice only
1109,OYajy-IfgAo,Voice only
1115,NopDEaz6bL4,Voice only
1118,NopDEaz6bL4,Side profile
1121,hCGgT7Gmzg0,Voice only
1123,kjpWYcNDgWc,Voice only
1124,Zsdv_X18wD8,Voice only
1133,Zsdv_X18wD8,Front face
1151,EDS5lfRFARg,Voice only
1152,EDS5lfRFARg,Front face
1159,fDj2x3Cb8ts,Voice only
1160,xrUwPbeETXE,Voice only
1180,NzcTKGxwCCE,Voice only
1188,xWUC47m9uKY,Voice only
1189,xWUC47m9uKY,Front face
1199,eBsa_1cpN9s,Voice only
1200,eBsa_1cpN9s,Front face
1203,B64TkkVRAwI,Voice only
1204,B64TkkVRAwI,Front face
1211,hlD_j3AtxGs,Front face
1212,hlD_j3AtxGs,Voice only
1213,ZALxVE9hJ1I,Voice only
1214,lYeqxD1f5co,Voice only
1215,lYeqxD1f5co,Front face
1225,lYeqxD1f5co,Side profile
1234,c0roInrdEMQ,Front face
1238,c0roInrdEMQ,Voice only
1241,O-cawByg2aA,Voice only
1243,O-cawByg2aA,Front face
1251,557vBwreipo,Front face
1252,557vBwreipo,Voice only
1253,uAmVmeDooQ4,Voice only
1261,--2v7MZOJGg,Voice only
1266,--2v7MZOJGg,Front face
1269,AkTyNRAp2qg,Front face
1270,AkTyNRAp2qg,Voice only
1276,IvU3rkSBxBE,Voice only
1289,3XddwCSMo-8,Front face
1290,3XddwCSMo-8,Voice only
1292,c-Sg1HWcES0,Voice only
1296,c-Sg1HWcES0,Side profile
1297,9JE8GeZA78s,Front face
1298,9JE8GeZA78s,Voice only
1306,efsoTjgOIf4,Voice only
1311,gjJAXY_g-dA,Voice only
1313,zce6RScG2_k,Voice only
1315,Sx15ZqQPnHE,Voice only
1319,WOf2Kf0kNU8,Voice only
1323,O7YPymhfQec,Voice only
1325,HNEDBQYN0wE,Voice only
1330,acfjqWTwee0,Voice only
1338,VPM84_yfx5Q,Voice only
1341,jTb8NIxRRBc,Voice only
1391,Etp6km1JQi8,Voice only
1400,M8St8moqFq4,Voice only
1402,0KOT3mAtiNU,Voice only
1411,0KOT3mAtiNU,Front face
1423,zHYDdT1pPIY,Voice only
1427,zHYDdT1pPIY,Front face
1428,PqGc817jz3o,Voice only
1431,nK9Uf-7ijlk,Voice only
1439,1tz2bTKTWPg,Voice only
1443,7KnncF6Eomg,Voice only
1445,hhjOTt9EYyw,Voice only
1446,6x5FYrntm4Y,Voice only
1447,GbQcH5Zx9lE,Voice only
1459,-Kwyeaq38mg,Voice only
1468,dU-s0GWz2OQ,Voice only
1471,uhwzHfHcDOQ,Voice only
1472,68BytWd8uD8,Voice only
1475,w-I_lAfmRxM,Voice only
1476,w-I_lAfmRxM,Front face
1484,t1KXDricV54,Voice only
1496,GMiAbQ5yUDA,Front face
1497,GMiAbQ5yUDA,Voice only
1500,8254mpJprjk,Voice only
1516,F2rEhJdN-mk,Voice only
1518,xPjQixqiRwQ,Voice only
1520,rQ6EwArDtHc,Voice only
1521,hUj3o0bsXWo,Voice only
1523,xihRwuWXmDc,Voice only
1524,YN5fu74-pcM,Voice only
1534,8nC0VnSRYgQ,Voice only
1536,OauYLIJB8Mk,Voice only
1539,ByHwtLjujlE,Voice only
1545,snWh8VxaKek,Voice only
1550,8waX7HzUxQQ,Voice only
1551,ibZmnFcLlaA,Voice only
1552,BWSrU0tv-5A,Voice only
1554,I6K-7v6DE9E,Voice only
1556,JmJAa90B_Qo,Voice only
1557,LcSnf-GBeKo,Voice only
1561,NK7GmnT_VQw,Voice only
1565,u6NBz5NK7Bg,Voice only
1575,V61XrzryoIM,Voice only
1577,ngElbkETkXo,Voice only
1589,Qchto7n_A3E,Voice only
1594,Qchto7n_A3E,Front face
1597,DsGHIDHxgF8,Voice only
1605,ma9HLOl1vuM,Voice only
1607,jtfbQ02Qryw,Voice only
1621,4fBXIcO0It4,Front face
1624,GHaZYHfxyLs,Voice only
1625,XCy9TjzIees,Voice only
1646,-HyxOjUZ04Q,Voice only
1650,9M2-OkV9vVc,Side profile
1651,9M2-OkV9vVc,Voice only
1654,jO-15XPPVpE,Voice only
1656,1CFYomoxc-I,Voice only
1657,u_MU518qhwM,Voice only
