Video id,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,social,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,health,drives,affiliation,achieve,power,reward,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,money,informal,netspeak,assent,nonflu,AllPunc,Dash,Quote,Apostro,Parenth,OtherP
Is9ioUILsrU,1392,59.04,61.05,40.87,41.35,1392.0,13.0,83.41,55.39,15.16,6.9,3.59,1.72,1.15,0.0,0.43,8.26,6.68,14.37,9.91,6.03,7.61,0.07,17.82,3.74,2.8,3.59,7.76,2.66,1.15,1.01,0.14,5.68,0.0,8.76,1.15,1.87,1.94,2.87,0.43,2.08,1.72,1.15,0.43,0.14,0.43,0.22,4.38,2.08,0.36,0.79,1.15,1.65,13.94,1.72,14.73,2.8,7.54,4.74,1.29,0.86,0.5,0.86,0.5,0.29,0.07,0.65,0.14,0.0,0.07,0.0,0.43
BBhwOTtARQ8,932,41.59,72.6,23.87,77.18,932.0,9.33,83.05,50.54,13.52,8.05,2.9,0.97,3.76,0.21,0.21,5.47,5.15,10.73,7.94,8.91,9.23,0.21,15.34,1.61,1.5,2.9,11.91,3.11,3.0,2.9,0.11,6.87,0.64,13.63,3.43,3.0,3.43,1.93,1.07,2.47,1.18,0.75,0.32,0.0,0.64,0.11,3.65,1.07,0.86,1.39,0.86,1.72,11.48,0.97,11.59,1.61,6.87,3.33,1.61,0.54,2.9,2.25,0.21,1.72,0.32,1.29,0.11,0.0,0.21,0.0,0.97
1T2rAw6DsyM,1289,37.2,88.68,37.47,51.93,12.39,7.76,85.26,55.08,15.98,9.31,1.4,4.19,2.87,0.08,0.78,6.67,4.97,12.49,9.7,7.06,9.46,0.78,18.54,3.41,2.48,1.24,11.17,2.09,2.17,1.78,0.39,10.09,0.54,9.46,2.33,1.55,1.71,2.48,0.62,2.87,1.71,1.16,0.47,0.08,0.54,0.0,7.91,4.27,0.78,2.09,0.93,1.55,15.44,1.86,14.27,2.56,7.84,3.96,2.25,0.16,0.0,2.72,0.7,0.7,1.4,17.69,0.0,0.0,2.25,0.0,0.16
7Z_0Hica6-w,1403,32.16,56.23,46.85,91.63,1403.0,8.13,86.81,52.67,13.19,7.48,3.78,0.93,1.64,0.86,0.29,5.7,5.35,9.84,8.62,7.84,12.83,0.14,17.11,2.07,1.64,2.35,12.54,1.85,4.21,4.13,0.07,4.92,1.07,11.76,3.99,2.14,3.14,2.64,0.5,2.0,1.35,1.0,0.21,0.07,0.21,0.0,4.42,1.14,1.14,0.86,1.35,1.35,13.54,1.92,14.75,2.99,7.13,5.06,0.43,0.36,2.28,3.42,0.29,2.71,0.43,2.92,1.0,0.0,0.14,0.0,1.57
pIMNpu7mGY8,114,85.5,60.39,12.29,25.77,114.0,18.42,67.54,40.35,3.51,1.75,0.0,1.75,0.0,0.0,0.0,1.75,7.02,12.28,7.02,6.14,8.77,0.0,11.4,2.63,1.75,1.75,12.28,4.39,3.51,1.75,1.75,1.75,0.0,7.02,0.88,1.75,0.88,0.0,2.63,0.88,0.0,0.0,0.0,0.0,2.63,0.0,7.02,1.75,1.75,1.75,0.88,4.39,6.14,0.0,13.16,0.88,4.39,7.89,1.75,0.88,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,1.75,0.0,0.0
C7CY4l99S7M,1136,28.15,47.54,8.96,43.41,14.02,10.04,82.04,57.04,12.32,3.08,0.62,0.88,1.23,0.0,0.35,9.24,5.63,10.92,12.24,8.19,10.65,2.2,16.73,2.64,3.17,2.64,9.6,3.35,1.14,1.06,0.09,4.05,0.0,10.56,0.35,1.58,3.96,2.73,0.88,3.96,2.55,2.11,0.35,0.0,0.0,0.0,4.23,2.11,0.18,1.67,0.26,0.88,13.2,1.23,11.97,1.23,5.72,3.87,0.88,0.0,0.0,1.32,0.18,0.26,0.79,24.3,0.18,0.0,0.18,0.0,8.45
k40Ht-MffP8,535,76.89,63.89,65.34,42.74,535.0,18.13,83.93,56.26,13.27,3.93,0.0,1.87,0.19,1.5,0.37,9.35,10.65,13.27,8.6,4.3,8.04,0.37,17.57,1.5,1.12,2.24,5.23,1.12,0.93,0.93,0.0,5.05,0.0,10.09,2.99,1.31,2.06,2.99,1.12,3.18,1.31,1.31,0.0,0.0,0.0,0.0,4.86,2.24,0.75,1.12,0.93,0.56,14.39,0.93,20.75,3.55,9.35,7.1,0.19,1.12,0.19,0.75,0.19,0.0,0.56,0.37,0.0,0.0,0.37,0.0,0.0
nmccWna9A0Y,479,49.02,82.09,25.88,65.33,479.0,10.44,77.24,48.43,10.23,5.22,0.42,2.3,2.09,0.0,0.42,5.01,5.22,11.48,10.23,9.19,8.35,0.0,14.41,1.67,0.84,3.13,14.41,0.63,2.51,2.3,0.21,6.68,0.0,7.93,2.3,1.67,0.84,2.3,1.04,1.46,1.46,0.84,0.21,0.0,0.0,0.0,6.89,3.76,0.63,1.04,1.46,0.63,14.2,0.21,13.78,1.46,7.1,4.8,0.84,0.0,0.0,1.88,0.0,1.67,0.21,0.42,0.0,0.0,0.42,0.0,0.0
4w_n98E-j0I,86,87.78,75.74,3.96,25.77,86.0,15.12,67.44,53.49,6.98,3.49,0.0,2.33,0.0,0.0,1.16,3.49,10.47,15.12,12.79,4.65,5.81,0.0,15.12,2.33,2.33,0.0,13.95,2.33,0.0,0.0,0.0,5.81,0.0,6.98,2.33,0.0,2.33,1.16,2.33,1.16,0.0,0.0,0.0,0.0,1.16,1.16,5.81,4.65,0.0,1.16,0.0,0.0,15.12,1.16,9.3,1.16,4.65,3.49,1.16,0.0,0.0,1.16,0.0,1.16,0.0,4.65,0.0,0.0,2.33,0.0,2.33
UoPYPDnkltQ,456,29.45,96.36,9.58,54.67,456.0,14.91,87.06,58.99,17.54,10.31,0.22,2.19,4.17,1.32,2.41,7.24,7.02,10.31,9.43,7.89,10.75,0.22,16.01,2.63,2.19,2.19,4.39,2.41,2.41,1.97,0.44,15.57,1.1,10.31,1.54,1.97,2.41,3.07,0.66,3.51,2.19,1.75,0.44,0.0,0.0,0.0,9.87,3.07,2.19,3.07,1.1,2.19,14.91,1.54,11.62,2.85,4.61,3.95,2.41,0.0,0.0,1.1,0.0,0.88,0.22,0.44,0.0,0.0,0.44,0.0,0.0
