Video id,Views,Likes,Dislikes,Favorites,Comments
Is9ioUILsrU,2460,5,8,0,0
BBhwOTtARQ8,797,3,0,0,0
1T2rAw6DsyM,1079,7,3,0,0
7Z_0Hica6-w,468,2,1,0,0
pIMNpu7mGY8,1448,5,5,0,6
C7CY4l99S7M,234921,392,43,0,66
k40Ht-MffP8,14,0,0,0,0
nmccWna9A0Y,1712,11,12,0,0
4w_n98E-j0I,1277,0,0,0,0
UoPYPDnkltQ,691,7,1,0,2
ErrR7v0OgJA,223,2,1,0,4
KvBMuB4FeWE,2727,9,6,0,1
buSnKoducJc,180,2,0,0,0
NUA-fI3E6Vk,3029,5,5,0,0
SPh1KMjrb_A,99,1,0,0,0
qcz1Cm_-l50,241878,473,37,0,86
6sbVhu843SA,1702,17,4,0,2
X1Kr2cHWuP4,6878,0,0,0,0
dBGeri4eFv4,189479,66,14,0,12
h3ZrKQMBEB4,231,2,0,0,0
vPA0k8r3Tuc,2568,0,0,0,0
muZmOiiukQE,147632,357,55,0,40
9ya8YNMJ27g,22772,177,37,0,50
7up731HX2uA,163,0,0,0,0
1F7LAJEVp-U,269356,103,17,0,17
nm2b1U8mvhI,1211,4,2,0,0
PqJuIal2-rY,52,0,2,0,0
Ep8y4v7-Dmw,452,5,5,0,0
EOqxDyiMAdE,417,2,0,0,0
whreCx_YLko,107,4,0,0,0
bChoL5qB6cM,1220,9,3,0,1
iQTrf_eCfI8,3708,18,0,0,0
4dvG5PXUGFk,2914,0,0,0,0
V1kXk2yrBZw,1298,5,2,0,0
VufrCCcsse4,524,0,0,0,0
WTIotEFCYno,833,9,2,0,3
LXZqE_soFzY,2966,5,3,0,2
IYNyBvB8BjA,267,0,1,0,0
nWbQIORfcyg,27,0,0,0,0
CQ0OHoaS8eo,1257,5,0,0,1
LXZqE_soFzY,2966,5,3,0,2
jBIf10lgWyU,745,5,0,0,4
Wn8Bf_r0vzo,22,0,0,0,0
T1yNpgVkMRM,388,6,0,0,1
TSnZ0dlh3NA,802,1,2,0,1
k2rrJDcOGsw,659,4,0,0,0
5RZwBqvMVMI,313,1,0,0,0
6uts4lH_tP4,44,1,0,0,0
GtiYyWQI8ZA,57,0,0,0,0
ev8g5jdDxEA,4213,0,0,0,0
xRLaBFyc-UM,1050,8,2,0,0
3Xf5_-WM6h0,388,0,1,0,0
NVVL3jc2nRE,783,5,1,0,0
RKjFYgSREG8,392,0,0,0,0
3USkdBSwdKs,407,1,0,0,0
71l1dxnNN28,5,0,0,0,0
Gz4K_CjxcCU,9,0,0,0,0
Fre5g65sj0w,78684,244,57,0,33
xWiQT2LaD78,58,0,0,0,0
h7JatMD-B_w,164,3,0,0,0
VoI3U21K8_4,8909,26,7,0,5
7E64xzjsgpo,26,1,0,0,0
YQ8H5GLPZsA,2361,9,4,0,8
Q48o-VQ48og,176,0,0,0,0
4OmT_Nj1eng,1643,0,0,0,0
xYP3p5ScKNo,98,1,0,0,0
EyAvSj1ZgXk,29,1,0,0,0
JzcylDGwRjk,91,0,0,0,0
lTAQ2HRErYw,382,2,0,0,1
PouihkhCpIc,785,9,4,0,0
uRrsTH3qC5c,1452,3,4,0,0
NRlAWXJzNr8,10,0,0,0,0
3oIBsiZxNRw,17985,81,13,0,0
QxXR0fxvTgM,7055,0,0,0,0
yVZaPTMZUlM,11,0,0,0,0
51rqdW3u02M,538,3,1,0,0
