,Video id,median_flatness,count of number of 1s/total windows
0,4dvG5PXUGFk,1.32E-05,0
1,ev8g5jdDxEA,0.00018720297,0.0003979057592
2,3USkdBSwdKs,9.75E-05,0.03710751665
3,c0roInrdEMQ,5.03E-05,0.01474641676
4,ku1rHYu6K9Q,1.10E-05,0.01804285783
5,whreCx_YLko,2.16E-05,0.02960995524
6,7 CR helper,8.78E-05,0.005988023952
7,xiHcVRFBnA0,0.00019699305,0.1551063088
8,LaSgcIsnXlU,0.00018627208,5.22E-05
9,Re9DQipGsbs,7.37E-05,0.0001346837625
10,kjpWYcNDgWc,1.66E-05,0.002149382053
11,xrUwPbeETXE,3.19E-05,0.002026418493
12,IvU3rkSBxBE,8.76E-06,0.01438744369
13,GtiYyWQI8ZA,4.57E-06,0
14,Wn8Bf_r0vzo,0.00013259158,0.0005430355688
15,lTAQ2HRErYw,9.32E-05,0.0007512121833
16,TSnZ0dlh3NA,0.00036786665,0.0001241310824
17,LXZqE_soFzY,0.00027121417,0.000116117046
18,nWbQIORfcyg,0.00014341656,0.005363065415
19,NRlAWXJzNr8,5.04E-05,0
20,Is9ioUILsrU,0.00011153508,0.0002362390739
21,BBhwOTtARQ8,5.98E-06,0
22,7Z_0Hica6-w,5.45E-05,0.0008552694099
23,k40Ht-MffP8,0.00043241965,0.002438231469
24,SPh1KMjrb_A,1.27E-05,0.03779222352
25,Ep8y4v7-Dmw,0.00013233902,0.0005157539385
26,t1KXDricV54,0.00016988086,7.76E-05
27,jtfbQ02Qryw,0.000355583,6.94E-05
28,iQTrf_eCfI8,0.0001040413,0.003035085589
29,IYNyBvB8BjA,0.000109998575,0.09736381013
30,zeqrf8ZVQSs,6.35E-05,0.0005219350054
31,CQ0OHoaS8eo,0.00010408416,0.0234583356
32,Q48o-VQ48og,0.00033922784,0.02179067404
33,YN5fu74-pcM,0.00025212253,0.02244488978
34,9JE8GeZA78s,3.07E-06,0.001820958647
35,X1Kr2cHWuP4,0.00019741137,0.0003200204813
36,GbQcH5Zx9lE,0.00051767065,0.0007502764176
37,8254mpJprjk,0.0003250973,0.0005290538753
38,2-aPVBmi0P8,0.00012026046,0.0003576439517
39,GvCv2Pz0o3I,0.00019611379,0.00103457402
40,bChoL5qB6cM,9.21E-05,0.0004156160816
41,WTIotEFCYno,0.000120315875,0.0007668384953
42,jBIf10lgWyU,0.00024366533,0.0007965050325
43,k2rrJDcOGsw,0.00012110669,0.000880249404
44,1T2rAw6DsyM,0.00023960453,0.001495606655
45,NUA-fI3E6Vk,0.00044037425,0.0008812598184
46,0KOT3mAtiNU,0.0003122288,0.0005174818881
47,PFn5uO78D8U,6.85E-05,0.0004388714734
48,AkTyNRAp2qg,2.10E-06,0.06063501396
49,--2v7MZOJGg,2.50E-05,0.01372658134
50,zcMrjedUJIQ,0.00071044907,0
51,-Kwyeaq38mg,2.01E-05,0.001846463742
52,w-I_lAfmRxM,9.30E-05,0.04573746804
53,4fBXIcO0It4,5.64E-05,0
54,NzcTKGxwCCE,5.27E-05,6.09E-05
55,JzcylDGwRjk,9.55E-05,0.01978675415
56,9M2-OkV9vVc,0.00060286396,0.0002553626149
57,-HyxOjUZ04Q,0.0009096868,0.00026748696
58,NK7GmnT_VQw,0.00053828896,0.000263227165
59,NVVL3jc2nRE,9.07E-05,0.001793262457
60,xWiQT2LaD78,0.00036759855,0.005571383349
61,Fre5g65sj0w,0.00013403752,0.006127349507
62,xWUC47m9uKY,0.00014881519,0.02366630077
63,PouihkhCpIc,1.88E-05,8.12E-05
64,qcz1Cm_-l50,3.95E-05,0
65,bVSIaWBYtuw,8.16E-05,0.003108436616
66,EOqxDyiMAdE,7.82E-05,5.87E-05
67,O7YPymhfQec,4.11E-05,0.001841620626
68,gjJAXY_g-dA,6.94E-05,0
69,Sx15ZqQPnHE,2.54E-05,0.0002672367718
70,zce6RScG2_k,2.74E-05,0.0008736167734
71,WOf2Kf0kNU8,3.89E-05,0.0001397819402
72,Qchto7n_A3E,4.20E-05,0.0009257544899
73,xYP3p5ScKNo,0.00011842703,0
74,1F7LAJEVp-U,7.48E-05,0
75,eBsa_1cpN9s,3.83E-05,0.013648371
76,557vBwreipo,5.18E-05,0.003604103133
77,JB5zC2nu4Cc,0.00010160853,0.005399435514
78,C7CY4l99S7M,3.28E-05,0.0003710771841
79,6sbVhu843SA,0.00022769139,0.0006317618258
80,VPM84_yfx5Q,3.65E-05,0.007442849548
81,nmccWna9A0Y,5.36E-05,0.0007777561734
82,muZmOiiukQE,1.43E-05,0.001956342669
83,V1kXk2yrBZw,8.31E-05,0
84,YQ8H5GLPZsA,1.00E-05,0
85,h7JatMD-B_w,0.00034183677,0.0001335559265
86,UoPYPDnkltQ,5.80E-05,0
87,O-cawByg2aA,1.85E-05,0.01435897436
88,hlD_j3AtxGs,8.89E-05,0.1607741935
89,3XddwCSMo-8,7.93E-05,0.1821349963
90,ErrR7v0OgJA,6.78E-05,0.0003763643207
91,VoI3U21K8_4,9.86E-05,0.001682857799
92,Gz4K_CjxcCU,0.00015208952,0.002223987292
93,xRLaBFyc-UM,6.57E-05,0.002885783718
94,3Xf5_-WM6h0,0.00039927437,9.35E-05
95,Zsdv_X18wD8,0.0006380611,3.47E-05
96,5RZwBqvMVMI,0.00050825474,0
97,6uts4lH_tP4,0.00030823384,0
98,7E64xzjsgpo,0.00042970764,0
99,RKjFYgSREG8,0.0003257368,0.2253420526
100,aigXaO8ewdg,2.60E-05,0.00511101341
101,b_zqUaywNAE,8.16E-05,0.01496220885
102,PqJuIal2-rY,6.31E-05,0.01150795708
103,B64TkkVRAwI,0.00028353865,0.02302053674
104,nK9Uf-7ijlk,0.00038406037,0.02345679012
105,GMiAbQ5yUDA,4.36E-05,0.0002492522433
106,ngElbkETkXo,5.84E-05,8.22E-05
107,XCy9TjzIees,0.00011413016,0.0007392690477
108,ByHwtLjujlE,2.46E-05,0.00202411335
109,DsGHIDHxgF8,7.00E-05,0.001618022279
110,nm2b1U8mvhI,0.00033826134,0.02404220877
111,9ya8YNMJ27g,0.00017152526,0.0006328863573
112,PqGc817jz3o,2.53E-05,0.001735809755
113,zHYDdT1pPIY,1.65E-05,0.02232822491
114,pIMNpu7mGY8,0.00022334084,0.07793209877
115,EyAvSj1ZgXk,3.13E-06,0.001158748552
116,buSnKoducJc,9.61E-05,8.05E-05
117,h3ZrKQMBEB4,0.00034877082,0.03902089308
118,T1yNpgVkMRM,8.44E-05,0.004668174599
119,YUOXh6eFCrU,2.58E-05,0.00123738196
120,jTb8NIxRRBc,2.26E-05,0.06366273629
121,EDS5lfRFARg,7.73E-05,0.0001776198934
122,hCGgT7Gmzg0,1.94E-06,0.0006624710169
123,NopDEaz6bL4,0.00078429276,0.002018570852
124,Etp6km1JQi8,2.33E-05,0.03535856574
125,uAmVmeDooQ4,0.00085983274,0.0005641572118
126,nal Figures,7.16E-05,4.88E-05
127,wOpw9aFCfPU,3.08E-05,0.0003732387795
128,IiTHAXv4_ts,0.00011944947,0.0005068558929
129,Gep1hN-yeFQ,0.0001082105,0.01115417743
130,71l1dxnNN28,0.00010667631,0.0005241668506
131,3oIBsiZxNRw,2.21E-05,0
132,OYajy-IfgAo,9.38E-05,0.002007506328
133,FuFyo9Zd9e0,4.59E-05,0.0001231527094
134,c-Sg1HWcES0,1.0000007,1
135,acfjqWTwee0,3.33E-05,0
136,u6NBz5NK7Bg,0.000223185,0.01931806718
137,HNEDBQYN0wE,2.28E-05,0.001436940422
138,KvBMuB4FeWE,1.95E-06,0.003457515775
139,68BytWd8uD8,0.0005976845,0.0003966679889
140,uRrsTH3qC5c,6.25E-05,0.0003867723845
141,snWh8VxaKek,0.00024583202,0.0387156721
142,efsoTjgOIf4,1.0000007,1
143,51rqdW3u02M,3.55E-05,0.0004590410216
144,dBGeri4eFv4,4.11E-05,0
145,yDJ5Fn06OqA,7.48E-05,0.001611863314
146,i1quLORCZ2g,6.78E-05,0.009916610322
147,7222_XNBmeo,5.63E-05,0.00301258196
148,b7l5KEKtcIg,8.34E-05,0.0002114388413
149,za5uuoQJmmw,0.00010310216,0.0001539171926
150,fDj2x3Cb8ts,4.37E-05,0.1229444009
151,ZALxVE9hJ1I,3.50E-05,0.002577319588
152,VufrCCcsse4,0.00010264259,0.01257253385
153,4OmT_Nj1eng,3.47E-05,0.002831257078
154,QxXR0fxvTgM,0.00014465448,0.00505952381
155,yVZaPTMZUlM,8.66E-05,0.0001762425097
156,4w_n98E-j0I,9.27E-05,0.01418439716
157,vPA0k8r3Tuc,5.85E-05,0.02854594112
158,7up731HX2uA,5.20E-05,0.001902587519
159,M8St8moqFq4,7.27E-05,0.002138057422
160,hhjOTt9EYyw,5.48E-05,0.006736526946
161,6x5FYrntm4Y,5.17E-05,0.0115990058
162,1tz2bTKTWPg,4.35E-05,0.002336107461
163,7KnncF6Eomg,3.74E-05,0.001706484642
164,uhwzHfHcDOQ,4.06E-05,0.01764159703
165,dU-s0GWz2OQ,7.87E-05,0.0008928571429
166,F2rEhJdN-mk,3.91E-05,0.01126279863
167,xPjQixqiRwQ,4.51E-05,0.01282051282
168,hUj3o0bsXWo,7.19E-05,0.004995592125
169,xihRwuWXmDc,0.000114148876,0.02486187845
170,8nC0VnSRYgQ,3.37E-05,0.008906882591
171,rQ6EwArDtHc,3.63E-05,0.008873720137
172,OauYLIJB8Mk,7.67E-05,0.00880528317
173,8waX7HzUxQQ,6.35E-05,0.01414827391
174,ibZmnFcLlaA,5.58E-05,0.01037851038
175,BWSrU0tv-5A,3.64E-05,0.009531703274
176,JmJAa90B_Qo,6.59E-05,0.0193236715
177,I6K-7v6DE9E,3.16E-05,0.008214285714
178,V61XrzryoIM,4.60E-05,0.007487832273
179,ma9HLOl1vuM,0.00027660656,0.009109609168
180,GHaZYHfxyLs,4.50E-05,0.004972375691
181,u_MU518qhwM,3.63E-05,0.009142053446
182,jO-15XPPVpE,4.61E-05,0.0111893908
183,1CFYomoxc-I,6.88E-05,0.01948051948
