,Video id,pitch_tuning
0,lYeqxD1f5co,0.06
1,4dvG5PXUGFk,0.48
2,ev8g5jdDxEA,-0.34
3,3USkdBSwdKs,0.39
4,c0roInrdEMQ,-0.23
5,ku1rHYu6K9Q,0.29
6,whreCx_YLko,0.06
7,LcSnf-GBeKo,-0.38
8,xiHcVRFBnA0,0.04
9,LaSgcIsnXlU,-0.24
10,Re9DQipGsbs,-0.38
11,kjpWYcNDgWc,0.02
12,xrUwPbeETXE,0.12
13,IvU3rkSBxBE,0.06
14,GtiYyWQI8ZA,-0.25
15,Wn8Bf_r0vzo,0.06
16,lTAQ2HRErYw,0.07
17,TSnZ0dlh3NA,-0.33
18,LXZqE_soFzY,0.06
19,nWbQIORfcyg,-0.33
20,NRlAWXJzNr8,-0.33
21,Is9ioUILsrU,-0.22
22,BBhwOTtARQ8,-0.33
23,7Z_0Hica6-w,0.05
24,k40Ht-MffP8,-0.15
25,SPh1KMjrb_A,-0.19
26,Ep8y4v7-Dmw,-0.23
27,t1KXDricV54,0.27
28,jtfbQ02Qryw,0.3
29,iQTrf_eCfI8,-0.01
30,zeqrf8ZVQSs,-0.24
31,IYNyBvB8BjA,0.18
32,CQ0OHoaS8eo,-0.49
33,Q48o-VQ48og,0.05
34,YN5fu74-pcM,-0.38
35,9JE8GeZA78s,0.06
36,X1Kr2cHWuP4,-0.38
37,GbQcH5Zx9lE,0.05
38,8254mpJprjk,0.05
39,2-aPVBmi0P8,0.05
40,GvCv2Pz0o3I,0.06
41,bChoL5qB6cM,-0.33
42,WTIotEFCYno,0.06
43,jBIf10lgWyU,0.05
44,k2rrJDcOGsw,0.07
45,1T2rAw6DsyM,0.06
46,NUA-fI3E6Vk,0.06
47,0KOT3mAtiNU,0.06
48,PFn5uO78D8U,-0.25
49,AkTyNRAp2qg,-0.49
50,--2v7MZOJGg,-0.25
51,zcMrjedUJIQ,-0.33
52,Kwyeaq38mg,0.06
53,w-I_lAfmRxM,-0.19
54,4fBXIcO0It4,-0.18
55,NzcTKGxwCCE,0.19
56,JzcylDGwRjk,-0.23
57,9M2-OkV9vVc,-0.16
58,HyxOjUZ04Q,0.05
59,NK7GmnT_VQw,0.06
60,NVVL3jc2nRE,0.15
61,xWiQT2LaD78,0.22
62,Fre5g65sj0w,-0.03
63,xWUC47m9uKY,0.05
64,PouihkhCpIc,-0.33
65,qcz1Cm_-l50,-0.23
66,bVSIaWBYtuw,0.18
67,EOqxDyiMAdE,0.05
68,O7YPymhfQec,0.03
69,gjJAXY_g-dA,-0.03
70,Sx15ZqQPnHE,-0.28
71,zce6RScG2_k,-0.17
72,WOf2Kf0kNU8,0.15
73,Qchto7n_A3E,0.29
74,xYP3p5ScKNo,-0.19
75,1F7LAJEVp-U,-0.33
76,eBsa_1cpN9s,0.05
77,JB5zC2nu4Cc,0.17
78,557vBwreipo,0.01
79,C7CY4l99S7M,0.18
80,6sbVhu843SA,-0.43
81,nmccWna9A0Y,0.16
82,VPM84_yfx5Q,-0.23
83,muZmOiiukQE,-0.26
84,V1kXk2yrBZw,-0.34
85,YQ8H5GLPZsA,-0.31
86,h7JatMD-B_w,-0.32
87,UoPYPDnkltQ,0.05
88,O-cawByg2aA,-0.19
89,hlD_j3AtxGs,-0.49
90,3XddwCSMo-8,-0.14
91,ErrR7v0OgJA,-0.1
92,3Xf5_-WM6h0,0.06
93,VoI3U21K8_4,0.05
