,Video id,wpm
0,4dvG5PXUGFk,86.5
1,ev8g5jdDxEA,70.84210526
2,3USkdBSwdKs,22.6
3,c0roInrdEMQ,50.16666667
4,ku1rHYu6K9Q,117.7777778
5,whreCx_YLko,119.375
6,7 CR helper,106
7,xiHcVRFBnA0,27
8,LaSgcIsnXlU,107.0666667
9,Re9DQipGsbs,116.6666667
10,kjpWYcNDgWc,20
11,xrUwPbeETXE,71.25
12,IvU3rkSBxBE,101.8181818
13,GtiYyWQI8ZA,50.83333333
14,Wn8Bf_r0vzo,47.3559322
15,lTAQ2HRErYw,110.25
16,TSnZ0dlh3NA,81.8
17,LXZqE_soFzY,106.9
18,nWbQIORfcyg,22.42857143
19,NRlAWXJzNr8,106.4545455
20,Is9ioUILsrU,65.58333333
21,BBhwOTtARQ8,46
22,7Z_0Hica6-w,83.69230769
23,k40Ht-MffP8,131.4
24,SPh1KMjrb_A,78.3
25,Ep8y4v7-Dmw,52.88235294
26,t1KXDricV54,114.8
27,jtfbQ02Qryw,93.25
28,iQTrf_eCfI8,117.4
29,IYNyBvB8BjA,104.9
30,zeqrf8ZVQSs,103.8666667
31,CQ0OHoaS8eo,84
32,Q48o-VQ48og,118.8571429
33,YN5fu74-pcM,132.125
34,9JE8GeZA78s,38.57142857
35,X1Kr2cHWuP4,25.57142857
36,GbQcH5Zx9lE,106
37,8254mpJprjk,110.0714286
38,2-aPVBmi0P8,89
39,GvCv2Pz0o3I,84.64705882
40,bChoL5qB6cM,107.1428571
41,WTIotEFCYno,79.52631579
42,jBIf10lgWyU,76.52941176
43,k2rrJDcOGsw,98.18181818
44,1T2rAw6DsyM,91.63636364
45,NUA-fI3E6Vk,89.54545455
46,0KOT3mAtiNU,97.72222222
47,PFn5uO78D8U,124.7142857
48,AkTyNRAp2qg,43.83333333
49,--2v7MZOJGg,49.85714286
50,zcMrjedUJIQ,79.125
51,#NAME?,86.57142857
52,w-I_lAfmRxM,26.28571429
53,4fBXIcO0It4,118.3333333
54,NzcTKGxwCCE,33.42857143
55,JzcylDGwRjk,96.5
56,9M2-OkV9vVc,47.25
57,#NAME?,34.66666667
58,NK7GmnT_VQw,69.33333333
59,NVVL3jc2nRE,108.5714286
60,xWiQT2LaD78,76.28571429
61,Fre5g65sj0w,26.4
62,xWUC47m9uKY,46.11111111
63,PouihkhCpIc,75.4
64,qcz1Cm_-l50,114.8333333
65,bVSIaWBYtuw,129.3
66,EOqxDyiMAdE,98.28571429
67,O7YPymhfQec,58.5
68,gjJAXY_g-dA,44
69,Sx15ZqQPnHE,69.66666667
70,zce6RScG2_k,28
71,WOf2Kf0kNU8,56
72,Qchto7n_A3E,127.1428571
73,xYP3p5ScKNo,36.74074074
74,1F7LAJEVp-U,83.4
75,eBsa_1cpN9s,111.6666667
76,557vBwreipo,4.5
77,JB5zC2nu4Cc,132
78,C7CY4l99S7M,120.5
79,6sbVhu843SA,121.2666667
80,VPM84_yfx5Q,96.33333333
81,nmccWna9A0Y,65
82,muZmOiiukQE,105.25
83,V1kXk2yrBZw,38.11111111
84,YQ8H5GLPZsA,32.63636364
85,h7JatMD-B_w,53.5
86,UoPYPDnkltQ,84.33333333
87,O-cawByg2aA,124.625
88,hlD_j3AtxGs,83.5
89,3XddwCSMo-8,88.33333333
90,ErrR7v0OgJA,85.66666667
91,VoI3U21K8_4,89
92,Gz4K_CjxcCU,85.625
93,xRLaBFyc-UM,112.6666667
94,3Xf5_-WM6h0,65.6
95,Zsdv_X18wD8,88.04347826
96,5RZwBqvMVMI,73.4
97,6uts4lH_tP4,74.33333333
98,7E64xzjsgpo,89.6
99,RKjFYgSREG8,35.34693878
100,aigXaO8ewdg,69.5
101,b_zqUaywNAE,27.66666667
102,PqJuIal2-rY,99.625
103,B64TkkVRAwI,148.8571429
104,nK9Uf-7ijlk,125.7142857
105,GMiAbQ5yUDA,97.5
106,ngElbkETkXo,109.4
107,XCy9TjzIees,87.41176471
108,ByHwtLjujlE,61.6
109,DsGHIDHxgF8,116.8571429
110,nm2b1U8mvhI,104.4285714
111,9ya8YNMJ27g,127.2
112,PqGc817jz3o,50
113,zHYDdT1pPIY,54
114,pIMNpu7mGY8,65.5
115,EyAvSj1ZgXk,70
116,buSnKoducJc,92.5
117,h3ZrKQMBEB4,125
118,T1yNpgVkMRM,121.5555556
119,YUOXh6eFCrU,116.5
120,jTb8NIxRRBc,88.9047619
121,EDS5lfRFARg,12
122,hCGgT7Gmzg0,79.5
123,NopDEaz6bL4,60.2
124,Etp6km1JQi8,74.85714286
125,uAmVmeDooQ4,18.14285714
126,nal Figures,73.625
127,wOpw9aFCfPU,70.53846154
128,IiTHAXv4_ts,89.53333333
129,Gep1hN-yeFQ,134.4444444
130,71l1dxnNN28,95.13333333
131,3oIBsiZxNRw,94.625
132,OYajy-IfgAo,94.2
133,FuFyo9Zd9e0,29.75
134,c-Sg1HWcES0,50
135,acfjqWTwee0,120.1428571
136,u6NBz5NK7Bg,140.125
137,HNEDBQYN0wE,57.5
138,KvBMuB4FeWE,54.8
139,68BytWd8uD8,57
140,uRrsTH3qC5c,23.8
141,snWh8VxaKek,129
142,efsoTjgOIf4,50
143,51rqdW3u02M,31.2
144,dBGeri4eFv4,117.3333333
145,yDJ5Fn06OqA,22.5
146,i1quLORCZ2g,38.5
147,7222_XNBmeo,38.33333333
148,b7l5KEKtcIg,59.5
149,za5uuoQJmmw,44.5
150,fDj2x3Cb8ts,12
151,ZALxVE9hJ1I,68
152,VufrCCcsse4,65
153,4OmT_Nj1eng,33
154,QxXR0fxvTgM,43.5
155,yVZaPTMZUlM,37
156,4w_n98E-j0I,22
157,vPA0k8r3Tuc,70
158,7up731HX2uA,44.5
159,M8St8moqFq4,26.5
160,hhjOTt9EYyw,13
161,6x5FYrntm4Y,30
162,1tz2bTKTWPg,21.66666667
163,7KnncF6Eomg,35
164,uhwzHfHcDOQ,79
165,dU-s0GWz2OQ,39.66666667
166,F2rEhJdN-mk,50
167,xPjQixqiRwQ,70.5
168,hUj3o0bsXWo,52.5
169,xihRwuWXmDc,64
170,8nC0VnSRYgQ,64
171,rQ6EwArDtHc,78
172,OauYLIJB8Mk,68
173,8waX7HzUxQQ,38
174,ibZmnFcLlaA,89
175,BWSrU0tv-5A,61
176,JmJAa90B_Qo,26
177,I6K-7v6DE9E,12.5
178,V61XrzryoIM,44
179,ma9HLOl1vuM,58
180,GHaZYHfxyLs,73
181,u_MU518qhwM,32
182,jO-15XPPVpE,56
183,1CFYomoxc-I,40
